Element,M-At No.,M-At wt.,M-Density,M-M.P,M-B.P,M-Enth.fus,M-Enth.atom,M-Enth.vap,M-Sp.ht Cap,M-Elec.-ve,M-Surface.E,M-1st Ion E,M-cova .radii,M-At.radii,M-Group,M-Period,M-Work F.,M-Elec.Aff,At No.,At wt.,Density,M.P,B.P,Enth.fus,Enth.atom,Enth.vap,Sp.ht Cap,Elec.-ve,Surface.E,1st Ion E,cova .radii,At.radii,Group,Period,Work F.,Elec.Aff,CO_B.E
Ni3M-Os,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,76,190.23,22.59,3306,5285,31,789,630,130,2.2,2.95,840,128,185,8,6,5.93,106.1,-1.076222
Ni3M-Ir,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.36,880,137,180,9,6,5.76,151,-1.296423
Ni3M-Pt,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,-1.328044
Ni3M-Au,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,-1.380402
Ni3M-Tl,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,81,204.38,11.85,577,1746,4.2,182,165,129,1.62,0.22,589.4,145,156,13,6,3.84,19.2,-1.232489
Ni3M-Pb,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,82,207.2,11.34,600.61,2022,4.77,195,178,127,2.33,0.26,715.6,146,154,14,6,4.25,35.1,-1.185398
Re3M-V,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,23,50.94,6.11,2183,3680,22.8,515,453,489,1.63,2.38,650.9,153,171,5,4,4.3,50.6,-1.708272
Re3M-Cr,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,24,51.9961,7.19,2180,2944,20.5,397,339,448,1.66,3.22,652.9,139,166,6,4,4.5,64.3,-1.642274
Re3M-Mn,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,25,54.9,7.47,1519,2334,13.2,281,220,479,1.55,3.39,717.3,139,161,7,4,4.1,-50,-1.589293
Re3M-Co,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,27,58.933,8.9,1768,3200,16.2,426,375,421,1.88,2.11,760.4,126,152,9,4,5,63.7,-1.697363
Re3M-Ni,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,-1.661421
Re3M-Cu,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,-1.481631
Re3M-Mo,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,42,95.95,10.28,2896,4639,36,659,600,251,2.16,2.78,684.3,154,190,6,5,4.52,71.9,-1.657282
Re3M-Rh,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,1.98,719.7,135,173,9,5,5.2,109.7,-1.743316
Re3M-Pd,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,-1.662265
Re3M-Ag,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,0.76,731,145,165,11,5,4.63,125.6,-1.433081
Re3M-Ta,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,73,180.94,16.65,3290,5731,36,782,736,140,1.5,2.34,761,170,200,5,6,4,31,-1.827457
Re3M-W,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,74,183.84,19.25,3695,5828,35,860,800,132,2.36,3.23,770,162,193,6,6,4.44,78.6,-1.634671
